checking_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status,other_debtors,residence_since,property,age,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
lt_0_DM,18,paid_duly,car_new,9798,unknown,gte_7yrs,1,male_single,none,2,car,49,bank,own,3,management,1,yes,yes,1
gte_200_DM,12,paid_duly,radio_tv,13229,500_1000_DM,1_4yrs,4,male_married,none,1,savings,63,none,for_free,1,skilled,1,none,yes,1
gte_200_DM,36,paid_duly,radio_tv,7369,100_500_DM,1_4yrs,1,male_married,none,4,car,68,none,own,3,unskilled_r,1,none,yes,1
no_account,48,existing_paid,education,4933,unknown,lt_1yr,4,male_single,none,4,savings,18,none,own,3,skilled,1,none,yes,1
0_200_DM,60,paid_duly,furniture,1699,lt_100_DM,lt_1yr,3,male_married,none,1,car,18,none,own,1,unskilled_r,1,yes,yes,0
lt_0_DM,12,paid_duly,other,3825,lt_100_DM,4_7yrs,1,female_divorced,none,3,car,26,none,rent,4,skilled,1,none,yes,1
0_200_DM,18,paid_duly,business,14329,lt_100_DM,1_4yrs,4,male_single,none,2,real_estate,36,none,own,3,skilled,1,none,yes,1
no_account,48,existing_paid,radio_tv,8087,lt_100_DM,1_4yrs,3,male_single,none,2,unknown,21,none,own,2,unskilled_r,1,none,yes,0
gte_200_DM,18,paid_duly,education,9667,unknown,1_4yrs,2,female_divorced,none,1,real_estate,35,none,own,4,unskilled_r,1,yes,yes,1
0_200_DM,36,existing_paid,radio_tv,13372,unknown,1_4yrs,3,male_single,none,1,car,28,bank,own,4,unemployed,1,none,yes,0
no_account,48,paid_duly,furniture,16222,lt_100_DM,unemployed,4,male_single,none,1,unknown,44,none,own,3,management,1,yes,yes,1
0_200_DM,36,paid_duly,radio_tv,2267,lt_100_DM,unemployed,3,male_single,none,1,savings,31,none,own,2,skilled,2,none,yes,0
no_account,36,existing_paid,car_new,15701,unknown,1_4yrs,3,male_married,none,3,real_estate,36,bank,own,4,skilled,1,none,no,0
lt_0_DM,18,paid_duly,other,5856,lt_100_DM,1_4yrs,3,male_single,none,1,car,18,bank,own,1,unskilled_r,1,yes,yes,1
0_200_DM,6,existing_paid,radio_tv,7245,gte_1000_DM,4_7yrs,1,male_single,none,3,savings,37,none,own,2,unskilled_r,1,yes,yes,0
lt_0_DM,60,paid_duly,car_new,11334,lt_100_DM,1_4yrs,2,male_married,guarantor,1,car,39,none,own,3,skilled,1,yes,yes,0
0_200_DM,6,existing_paid,car_new,16762,lt_100_DM,gte_7yrs,1,male_married,none,4,car,29,none,own,4,unemployed,1,none,yes,0
lt_0_DM,6,existing_paid,car_new,18005,lt_100_DM,4_7yrs,4,male_married,none,3,savings,29,none,own,1,skilled,1,none,yes,0
lt_0_DM,48,paid_duly,radio_tv,1136,lt_100_DM,1_4yrs,1,male_single,none,4,car,31,none,rent,3,skilled,2,yes,yes,0
gte_200_DM,60,paid_duly,car_new,1185,lt_100_DM,1_4yrs,1,male_single,none,2,car,38,none,own,2,unskilled_r,1,yes,yes,1
0_200_DM,24,existing_paid,car_new,4219,lt_100_DM,1_4yrs,3,male_married,guarantor,3,real_estate,29,none,own,2,skilled,2,yes,yes,0
no_account,36,paid_duly,car_new,839,500_1000_DM,unemployed,1,male_single,none,2,savings,55,bank,own,4,skilled,2,none,yes,1
lt_0_DM,12,existing_paid,radio_tv,18043,500_1000_DM,gte_7yrs,1,male_single,none,4,real_estate,30,none,rent,2,skilled,1,yes,yes,0
gte_200_DM,24,delayed,business,5618,unknown,unemployed,1,male_married,none,3,savings,51,none,own,4,skilled,1,yes,yes,0
0_200_DM,60,all_paid,other,12504,unknown,lt_1yr,1,male_single,none,3,real_estate,24,bank,own,3,unskilled_r,1,yes,yes,0
no_account,60,paid_duly,other,7799,500_1000_DM,1_4yrs,3,male_married,none,2,car,37,none,own,3,management,2,none,yes,0
gte_200_DM,12,all_paid,radio_tv,8829,100_500_DM,lt_1yr,2,male_married,guarantor,1,savings,55,none,own,4,unskilled_r,1,none,yes,1
0_200_DM,12,paid_duly,radio_tv,5704,500_1000_DM,lt_1yr,4,male_single,none,1,savings,39,none,rent,1,skilled,1,none,yes,1
0_200_DM,60,existing_paid,car_new,17380,lt_100_DM,1_4yrs,3,male_single,none,2,real_estate,44,none,own,1,skilled,1,yes,yes,0
gte_200_DM,18,paid_duly,furniture,13308,lt_100_DM,1_4yrs,4,male_married,guarantor,1,real_estate,25,bank,own,2,unskilled_r,1,none,yes,1
gte_200_DM,24,paid_duly,furniture,537,lt_100_DM,unemployed,3,female_divorced,none,4,car,35,none,own,3,management,1,none,yes,1
no_account,60,existing_paid,car_new,11128,lt_100_DM,gte_7yrs,4,male_single,none,1,unknown,36,stores,rent,4,unskilled_r,1,yes,yes,0
no_account,24,critical,radio_tv,3428,unknown,lt_1yr,4,male_married,none,3,savings,30,none,own,3,unskilled_r,2,none,yes,1
no_account,6,paid_duly,radio_tv,8362,100_500_DM,gte_7yrs,1,male_married,none,3,savings,40,none,own,1,unskilled_nr,1,yes,yes,1
no_account,48,existing_paid,radio_tv,17707,lt_100_DM,4_7yrs,4,male_married,none,2,real_estate,30,none,own,4,skilled,1,none,yes,0
no_account,60,existing_paid,radio_tv,4516,lt_100_DM,gte_7yrs,3,male_married,none,2,unknown,52,stores,own,2,management,2,yes,yes,1
no_account,60,existing_paid,radio_tv,15008,lt_100_DM,4_7yrs,2,male_single,none,3,car,30,none,own,4,management,1,yes,yes,0
0_200_DM,24,delayed,furniture,7049,lt_100_DM,1_4yrs,1,male_single,none,1,unknown,48,none,own,1,skilled,1,yes,yes,0
gte_200_DM,24,paid_duly,other,8717,gte_1000_DM,1_4yrs,4,male_single,none,1,savings,40,none,rent,4,unskilled_r,1,yes,yes,0
gte_200_DM,12,existing_paid,furniture,13659,unknown,1_4yrs,1,female_divorced,none,3,real_estate,38,none,own,3,skilled,1,yes,yes,1
gte_200_DM,18,delayed,radio_tv,3840,lt_100_DM,1_4yrs,2,male_single,none,4,savings,31,none,rent,3,management,1,none,yes,1
no_account,60,paid_duly,car_new,14103,unknown,1_4yrs,2,male_married,none,3,unknown,54,none,own,2,skilled,1,none,no,0
lt_0_DM,24,paid_duly,car_new,10190,100_500_DM,1_4yrs,4,male_single,none,4,savings,29,none,own,2,skilled,1,none,yes,0
gte_200_DM,36,paid_duly,radio_tv,1634,unknown,gte_7yrs,1,male_single,none,4,savings,22,none,own,2,skilled,1,none,yes,1
no_account,48,paid_duly,car_new,11713,lt_100_DM,lt_1yr,2,female_divorced,none,4,savings,25,bank,for_free,3,management,1,none,yes,1
no_account,36,critical,radio_tv,16083,lt_100_DM,unemployed,2,male_married,none,4,real_estate,18,none,own,2,unskilled_r,1,none,yes,0
no_account,24,all_paid,radio_tv,8183,gte_1000_DM,gte_7yrs,4,male_single,none,3,savings,49,none,own,4,skilled,1,none,yes,0
no_account,60,all_paid,radio_tv,4104,lt_100_DM,4_7yrs,1,male_single,none,2,real_estate,40,none,own,1,skilled,2,none,yes,1
lt_0_DM,12,paid_duly,car_new,2211,100_500_DM,1_4yrs,1,male_single,none,1,real_estate,37,none,own,2,management,1,none,yes,1
lt_0_DM,12,existing_paid,car_used,1391,lt_100_DM,lt_1yr,2,male_single,none,2,savings,18,none,own,2,skilled,1,none,yes,1
lt_0_DM,12,existing_paid,business,4874,500_1000_DM,lt_1yr,3,male_divorced,none,2,savings,21,none,own,4,skilled,2,none,yes,1
0_200_DM,60,paid_duly,radio_tv,11188,lt_100_DM,lt_1yr,1,male_divorced,none,2,car,35,none,own,1,skilled,1,yes,yes,0
0_200_DM,36,paid_duly,business,5479,lt_100_DM,lt_1yr,4,male_single,none,1,car,44,none,own,2,skilled,1,none,yes,0
no_account,48,paid_duly,car_new,13259,lt_100_DM,gte_7yrs,4,male_married,none,2,car,33,none,own,2,management,1,none,yes,0
0_200_DM,60,existing_paid,furniture,5765,unknown,1_4yrs,4,female_divorced,none,4,savings,41,bank,own,4,skilled,1,yes,yes,0
gte_200_DM,18,existing_paid,furniture,17075,lt_100_DM,1_4yrs,4,male_single,none,2,real_estate,23,none,own,2,skilled,1,none,yes,1
0_200_DM,36,paid_duly,car_new,14577,unknown,lt_1yr,3,male_single,none,3,real_estate,18,none,own,2,skilled,2,none,yes,0
no_account,60,delayed,radio_tv,14128,lt_100_DM,1_4yrs,3,male_divorced,none,3,car,59,none,own,1,unskilled_nr,1,none,yes,0
0_200_DM,60,existing_paid,car_used,4211,lt_100_DM,1_4yrs,1,male_single,none,3,car,47,none,for_free,4,management,1,yes,yes,0
lt_0_DM,36,existing_paid,car_new,14157,unknown,lt_1yr,1,male_married,none,2,car,18,none,own,4,management,1,yes,yes,0
0_200_DM,48,paid_duly,furniture,14404,100_500_DM,1_4yrs,2,male_single,none,2,car,18,none,own,1,management,1,none,yes,0
gte_200_DM,48,paid_duly,car_new,15891,lt_100_DM,lt_1yr,3,male_single,none,2,unknown,45,bank,own,2,unskilled_r,1,yes,yes,0
lt_0_DM,36,paid_duly,car_new,5844,lt_100_DM,lt_1yr,1,male_married,guarantor,4,savings,41,bank,for_free,4,unskilled_r,2,none,yes,0
lt_0_DM,60,paid_duly,car_used,1265,lt_100_DM,1_4yrs,3,female_divorced,none,1,real_estate,46,none,own,3,skilled,1,yes,yes,0
lt_0_DM,12,critical,radio_tv,476,lt_100_DM,4_7yrs,4,male_married,none,1,real_estate,34,none,own,4,skilled,1,yes,yes,1
