store_id,dept_id,day,sell_price,snap,event_type,lag_1,lag_7,lag_28,rolling_mean_7,rolling_mean_28,sales
WI_1,HOUSEHOLD_1,1,1.74,0,Religious,73,77,68,75.0,72.67,73
WI_1,FOODS_2,8,5.82,1,None,38,41,36,39.5,38.33,40
CA_2,FOODS_3,75,6.64,0,None,77,79,71,78.0,75.67,76
TX_2,FOODS_3,35,9.79,0,None,26,19,20,22.5,21.67,24
CA_2,FOODS_1,29,11.51,1,None,76,77,80,76.5,77.67,78
TX_2,HOBBIES_1,61,1.84,0,None,20,21,17,20.5,19.33,18
TX_2,FOODS_2,38,6.07,0,None,84,83,82,83.5,83.0,82
CA_2,FOODS_2,21,10.99,1,None,68,65,70,66.5,67.67,70
CA_2,FOODS_1,14,9.65,1,None,83,77,79,80.0,79.67,82
CA_2,HOBBIES_1,64,3.97,1,None,72,75,68,73.5,71.67,71
TX_2,FOODS_3,33,5.02,0,None,27,25,30,26.0,27.33,25
WI_1,FOODS_2,42,6.08,0,None,40,35,38,37.5,37.67,38
WI_1,HOBBIES_1,26,2.02,1,None,47,46,49,46.5,47.33,46
CA_2,FOODS_3,55,10.41,1,None,75,77,79,76.0,77.0,73
TX_2,FOODS_1,39,5.95,0,None,73,73,65,73.0,70.33,73
TX_2,FOODS_1,38,6.7,1,None,72,74,69,73.0,71.67,70
WI_1,FOODS_3,2,3.09,0,None,49,53,42,51.0,48.0,49
CA_1,FOODS_2,23,10.17,0,None,62,64,70,63.0,65.33,64
CA_1,FOODS_2,44,9.75,1,None,68,72,68,70.0,69.33,69
TX_2,FOODS_3,21,4.95,1,Religious,19,17,24,18.0,20.0,21
TX_2,FOODS_2,57,8.46,0,None,80,79,79,79.5,79.33,81
TX_2,FOODS_3,37,7.41,0,None,20,25,14,22.5,19.67,21
CA_2,HOUSEHOLD_1,44,7.65,1,None,44,45,41,44.5,43.33,42
CA_1,HOUSEHOLD_1,67,1.59,0,None,51,49,50,50.0,50.0,50
CA_1,HOUSEHOLD_1,35,8.49,0,None,49,51,41,50.0,47.0,48
CA_2,FOODS_3,64,4.15,1,None,74,76,68,75.0,72.67,72
CA_2,HOBBIES_1,63,7.51,0,None,70,67,66,68.5,67.67,68
TX_1,HOBBIES_1,47,6.91,0,None,33,38,35,35.5,35.33,34
TX_2,FOODS_2,37,9.09,0,None,80,76,84,78.0,80.0,81
TX_1,HOBBIES_1,74,8.2,1,None,35,34,37,34.5,35.33,35
WI_1,HOUSEHOLD_1,18,8.1,1,Religious,76,80,77,78.0,77.67,77
CA_2,FOODS_2,53,5.17,1,Religious,68,74,69,71.0,70.33,70
WI_1,FOODS_2,33,8.04,0,None,35,35,36,35.0,35.33,37
CA_2,HOBBIES_1,3,9.13,1,None,51,56,56,53.5,54.33,53
CA_1,FOODS_1,71,10.27,0,None,37,39,33,38.0,36.33,39
WI_1,HOBBIES_1,77,9.68,0,None,54,50,54,52.0,52.67,52
TX_2,HOUSEHOLD_1,52,11.78,0,None,48,50,43,49.0,47.0,49
TX_1,HOUSEHOLD_1,35,9.14,0,Cultural,17,15,15,16.0,15.67,19
CA_1,HOBBIES_1,26,4.35,0,None,39,39,44,39.0,40.67,39
TX_2,FOODS_1,52,4.76,0,None,75,75,84,75.0,78.0,77
WI_1,FOODS_2,50,10.28,0,None,39,44,40,41.5,41.0,39
WI_1,FOODS_1,36,4.04,1,None,75,78,77,76.5,76.67,76
CA_2,HOUSEHOLD_1,29,6.11,1,None,40,44,35,42.0,39.67,40
WI_1,FOODS_3,39,1.51,1,None,49,51,42,50.0,47.33,47
TX_1,HOUSEHOLD_1,19,1.6,0,None,19,24,27,21.5,23.33,20
CA_2,FOODS_2,58,10.97,0,None,75,72,71,73.5,72.67,73
WI_1,HOBBIES_1,48,6.14,0,None,47,47,45,47.0,46.33,49
TX_2,HOBBIES_1,1,2.07,0,None,14,8,17,11.0,13.0,12
CA_2,FOODS_2,71,4.95,1,None,75,78,74,76.5,75.67,74
TX_2,HOUSEHOLD_1,36,3.7,1,None,49,49,46,49.0,48.0,49
WI_1,HOUSEHOLD_1,9,6.0,1,Religious,75,72,74,73.5,73.67,75
CA_1,HOBBIES_1,17,6.02,0,None,32,34,38,33.0,34.67,31
CA_2,HOUSEHOLD_1,35,2.57,0,None,39,36,40,37.5,38.33,41
CA_2,FOODS_1,36,4.49,0,None,83,87,91,85.0,87.0,85
TX_2,HOBBIES_1,65,2.32,1,None,14,15,21,14.5,16.67,14
TX_2,HOBBIES_1,19,8.51,0,None,12,6,9,9.0,9.0,10
CA_2,FOODS_3,71,5.52,1,None,79,83,84,81.0,82.0,79
CA_2,FOODS_2,34,2.27,0,None,66,65,72,65.5,67.67,68
TX_2,FOODS_1,7,10.04,1,Religious,68,67,60,67.5,65.0,68
CA_1,FOODS_2,52,6.83,1,None,71,73,78,72.0,74.0,73
WI_1,HOUSEHOLD_1,65,3.34,0,None,83,83,80,83.0,82.0,82
WI_1,FOODS_2,66,6.59,0,None,44,42,43,43.0,43.0,42
CA_1,HOBBIES_1,24,8.48,0,None,42,43,36,42.5,40.33,40
CA_2,FOODS_3,17,2.88,0,None,62,63,56,62.5,60.33,62
CA_2,FOODS_2,22,9.61,1,Cultural,75,69,67,72.0,70.33,73
TX_2,FOODS_2,6,6.79,0,None,72,70,80,71.0,74.0,74
CA_2,FOODS_2,77,11.02,1,None,83,76,83,79.5,80.67,81
WI_1,HOUSEHOLD_1,11,6.57,0,None,73,78,68,75.5,73.0,74
CA_2,HOBBIES_1,4,7.57,1,None,60,58,54,59.0,57.33,59
TX_1,FOODS_3,64,6.62,0,None,85,87,93,86.0,88.33,86
CA_2,FOODS_1,45,2.6,0,None,88,84,88,86.0,86.67,87
WI_1,FOODS_1,20,10.59,1,None,73,77,75,75.0,75.0,75
TX_2,FOODS_1,67,9.46,0,Religious,73,79,76,76.0,76.0,75
WI_1,HOBBIES_1,9,10.63,1,None,50,52,49,51.0,50.33,48
TX_1,HOUSEHOLD_1,17,9.43,0,None,23,17,17,20.0,19.0,21
CA_1,FOODS_2,35,11.16,0,None,72,72,66,72.0,70.0,70
CA_1,FOODS_1,66,6.03,0,Religious,42,49,49,45.5,46.67,44
TX_2,FOODS_1,68,11.87,0,National,70,67,71,68.5,69.33,71
CA_1,HOBBIES_1,45,8.96,0,None,40,33,37,36.5,36.67,38
WI_1,FOODS_2,61,9.24,0,National,40,40,49,40.0,43.0,42
TX_1,FOODS_1,67,3.89,1,None,15,20,23,17.5,19.33,15
CA_1,FOODS_1,30,7.47,1,None,39,36,35,37.5,36.67,40
TX_2,FOODS_2,52,9.93,0,None,79,81,76,80.0,78.67,80
TX_1,FOODS_2,23,4.33,0,None,65,58,64,61.5,62.33,63
CA_2,FOODS_3,32,7.53,1,Cultural,66,71,63,68.5,66.67,68
