applicant_id,cv_text,vacancy_family,sex,age_group,nationality,shortlist
A0240,logistics coordinator with 5 years of experience. shift supervision. forklift licence. warehouse management system. hazmat handling certificate. loading dock coordination. pallet handling. available at short notice. worked in agile teams. fluent in german and english.,logistics,diverse,30-44,DE,1
A0241,bi analyst with 15 years of experience. excel modelling. stakeholder presentations. sql reporting. statistical analysis. data cleaning pandas. available at short notice. responsible for onboarding new colleagues.,data,male,30-44,non-EU,0
A0242,bi analyst with 0 years of experience. a b testing. organised team events. volunteer experience in local club. team player with strong communication skills.,data,female,30-44,DE,0
A0243,reporting specialist with 0 years of experience. stakeholder presentations. fluent in german and english. organised team events.,data,female,18-29,DE,0
A0244,bi analyst with 2 years of experience. etl workflows. stakeholder presentations. volunteer experience in local club. responsible for onboarding new colleagues.,data,male,18-29,non-EU,0
A0245,devops engineer with 0 years of experience. cloud deployment aws. docker containers. worked in agile teams. basic first aid certificate.,software,diverse,18-29,non-EU,0
A0246,software developer with 1 years of experience. cloud deployment aws. responsible for onboarding new colleagues. available at short notice. attended internal trainings.,software,male,45-60,DE,0
A0247,office administrator with 0 years of experience. crm data entry. available at short notice. worked in agile teams.,office,female,30-44,DE,1
A0248,team assistant with 1 years of experience. calendar management. responsible for onboarding new colleagues. available at short notice. driving licence class b.,office,female,45-60,EU,0
A0249,software developer with 0 years of experience. team player with strong communication skills. fluent in german and english.,software,female,18-29,EU,0
A0250,bi analyst with 2 years of experience. etl workflows. statistical analysis. fluent in german and english. available at short notice.,data,male,30-44,non-EU,0
A0251,office administrator with 2 years of experience. team player with strong communication skills. available at short notice. organised team events.,office,male,18-29,EU,1
A0252,back office clerk with 12 years of experience. calendar management. crm data entry. ms office suite. minute taking. invoice processing. attended internal trainings. available at short notice. basic first aid certificate. fluent in german and english.,office,male,30-44,EU,1
A0253,software developer with 0 years of experience. docker containers. available at short notice. fluent in german and english. team player with strong communication skills.,software,female,45-60,non-EU,0
A0254,backend engineer with 8 years of experience. ci cd pipelines. code review practices. docker containers. unit testing. sql databases. rest api design. python development. driving licence class b. worked in agile teams. fluent in german and english. volunteer experience in local club.,software,diverse,30-44,EU,0
A0255,devops engineer with 10 years of experience. ci cd pipelines. docker containers. cloud deployment aws. code review practices. unit testing. rest api design. team player with strong communication skills. volunteer experience in local club. fluent in german and english.,software,female,30-44,DE,1
A0256,backend engineer with 13 years of experience. sql databases. python development. ci cd pipelines. unit testing. code review practices. cloud deployment aws. rest api design. basic first aid certificate. volunteer experience in local club. responsible for onboarding new colleagues.,software,male,45-60,non-EU,1
A0257,back office clerk with 5 years of experience. travel booking. front desk reception. invoice processing. ms office suite. german and english correspondence. minute taking. calendar management. volunteer experience in local club. basic first aid certificate. team player with strong communication skills. responsible for onboarding new colleagues.,office,diverse,18-29,EU,1
A0258,back office clerk with 4 years of experience. travel booking. ms office suite. minute taking. calendar management. crm data entry. available at short notice. attended internal trainings. responsible for onboarding new colleagues.,office,male,18-29,EU,1
A0259,logistics coordinator with 1 years of experience. pallet handling. available at short notice. responsible for onboarding new colleagues.,logistics,female,45-60,DE,1
A0260,backend engineer with 5 years of experience. python development. ci cd pipelines. docker containers. unit testing. sql databases. code review practices. attended internal trainings. driving licence class b.,software,diverse,30-44,EU,0
A0261,logistics coordinator with 3 years of experience. driving licence class b. worked in agile teams.,logistics,diverse,18-29,EU,1
A0262,software developer with 0 years of experience. rest api design. volunteer experience in local club. basic first aid certificate. worked in agile teams.,software,diverse,18-29,DE,0
A0263,warehouse operative with 3 years of experience. attended internal trainings. volunteer experience in local club. responsible for onboarding new colleagues. basic first aid certificate.,logistics,diverse,18-29,non-EU,0
A0264,depot supervisor with 2 years of experience. driving licence class b. basic first aid certificate. team player with strong communication skills.,logistics,diverse,18-29,DE,0
A0265,back office clerk with 1 years of experience. crm data entry. team player with strong communication skills. driving licence class b. available at short notice.,office,female,45-60,DE,0
A0266,depot supervisor with 4 years of experience. hazmat handling certificate. pallet handling. warehouse management system. shift supervision. loading dock coordination. route planning. inventory cycle counts. volunteer experience in local club. fluent in german and english. attended internal trainings. organised team events.,logistics,diverse,30-44,DE,1
A0267,software developer with 3 years of experience. ci cd pipelines. attended internal trainings. driving licence class b. volunteer experience in local club.,software,male,18-29,DE,0
A0268,reporting specialist with 1 years of experience. available at short notice. driving licence class b. responsible for onboarding new colleagues.,data,male,18-29,non-EU,1
A0269,devops engineer with 10 years of experience. unit testing. ci cd pipelines. python development. docker containers. code review practices. rest api design. cloud deployment aws. attended internal trainings. basic first aid certificate. responsible for onboarding new colleagues. team player with strong communication skills.,software,diverse,18-29,non-EU,1
A0270,backend engineer with 10 years of experience. code review practices. python development. unit testing. ci cd pipelines. sql databases. cloud deployment aws. team player with strong communication skills. available at short notice. responsible for onboarding new colleagues. basic first aid certificate.,software,male,18-29,DE,1
A0271,reporting specialist with 14 years of experience. statistical analysis. power bi dashboards. data cleaning pandas. a b testing. etl workflows. stakeholder presentations. sql reporting. driving licence class b. team player with strong communication skills.,data,female,18-29,non-EU,0
A0272,software developer with 2 years of experience. team player with strong communication skills. fluent in german and english. worked in agile teams.,software,male,45-60,non-EU,0
A0273,data analyst with 10 years of experience. etl workflows. data cleaning pandas. sql reporting. stakeholder presentations. statistical analysis. a b testing. excel modelling. driving licence class b. available at short notice. basic first aid certificate. responsible for onboarding new colleagues.,data,male,30-44,DE,1
A0274,back office clerk with 2 years of experience. driving licence class b. attended internal trainings.,office,diverse,45-60,non-EU,0
A0275,bi analyst with 3 years of experience. power bi dashboards. attended internal trainings. organised team events. basic first aid certificate. fluent in german and english.,data,diverse,45-60,EU,0
A0276,depot supervisor with 15 years of experience. inventory cycle counts. forklift licence. warehouse management system. loading dock coordination. hazmat handling certificate. pallet handling. team player with strong communication skills. attended internal trainings. driving licence class b. fluent in german and english.,logistics,male,30-44,DE,1
A0277,office administrator with 15 years of experience. minute taking. crm data entry. german and english correspondence. ms office suite. travel booking. basic first aid certificate. driving licence class b.,office,male,45-60,non-EU,1
A0278,backend engineer with 2 years of experience. sql databases. responsible for onboarding new colleagues. basic first aid certificate.,software,male,18-29,EU,0
A0279,warehouse operative with 0 years of experience. forklift licence. responsible for onboarding new colleagues. fluent in german and english.,logistics,male,45-60,non-EU,0
A0280,depot supervisor with 12 years of experience. route planning. shift supervision. warehouse management system. inventory cycle counts. forklift licence. worked in agile teams. attended internal trainings. volunteer experience in local club.,logistics,female,30-44,EU,1
A0281,team assistant with 2 years of experience. ms office suite. fluent in german and english. attended internal trainings.,office,diverse,45-60,non-EU,0
A0282,backend engineer with 13 years of experience. python development. sql databases. ci cd pipelines. unit testing. docker containers. rest api design. driving licence class b. attended internal trainings. available at short notice. team player with strong communication skills.,software,diverse,45-60,EU,1
A0283,team assistant with 2 years of experience. front desk reception. calendar management. volunteer experience in local club. available at short notice.,office,female,45-60,EU,0
A0284,devops engineer with 1 years of experience. available at short notice. attended internal trainings. fluent in german and english.,software,female,45-60,non-EU,0
A0285,warehouse operative with 1 years of experience. responsible for onboarding new colleagues. basic first aid certificate. volunteer experience in local club. driving licence class b.,logistics,female,30-44,EU,0
A0286,depot supervisor with 7 years of experience. inventory cycle counts. warehouse management system. pallet handling. hazmat handling certificate. route planning. shift supervision. forklift licence. fluent in german and english. driving licence class b. organised team events. volunteer experience in local club.,logistics,female,45-60,non-EU,1
A0287,back office clerk with 2 years of experience. volunteer experience in local club. driving licence class b.,office,female,18-29,DE,0
A0288,logistics coordinator with 11 years of experience. loading dock coordination. hazmat handling certificate. warehouse management system. inventory cycle counts. forklift licence. route planning. pallet handling. fluent in german and english. team player with strong communication skills. volunteer experience in local club.,logistics,male,30-44,EU,1
A0289,reporting specialist with 3 years of experience. organised team events. responsible for onboarding new colleagues. driving licence class b. worked in agile teams.,data,diverse,18-29,EU,0
A0290,backend engineer with 1 years of experience. unit testing. volunteer experience in local club. responsible for onboarding new colleagues. fluent in german and english.,software,male,45-60,non-EU,0
A0291,depot supervisor with 3 years of experience. forklift licence. fluent in german and english. attended internal trainings.,logistics,female,18-29,DE,0
A0292,bi analyst with 12 years of experience. stakeholder presentations. statistical analysis. sql reporting. a b testing. etl workflows. power bi dashboards. available at short notice. organised team events.,data,female,45-60,EU,1
A0293,depot supervisor with 1 years of experience. inventory cycle counts. shift supervision. basic first aid certificate. driving licence class b. team player with strong communication skills.,logistics,female,30-44,non-EU,0
A0294,reporting specialist with 1 years of experience. a b testing. statistical analysis. basic first aid certificate. available at short notice. driving licence class b. organised team events.,data,male,45-60,EU,0
A0295,devops engineer with 15 years of experience. sql databases. unit testing. rest api design. code review practices. ci cd pipelines. python development. responsible for onboarding new colleagues. driving licence class b.,software,male,45-60,non-EU,1
A0296,devops engineer with 14 years of experience. cloud deployment aws. unit testing. sql databases. docker containers. code review practices. team player with strong communication skills. attended internal trainings.,software,female,30-44,DE,1
A0297,data analyst with 0 years of experience. stakeholder presentations. team player with strong communication skills. available at short notice. attended internal trainings.,data,female,18-29,DE,0
A0298,data analyst with 7 years of experience. excel modelling. data cleaning pandas. sql reporting. statistical analysis. power bi dashboards. a b testing. basic first aid certificate. available at short notice. volunteer experience in local club. fluent in german and english.,data,male,18-29,DE,0
A0299,logistics coordinator with 6 years of experience. route planning. pallet handling. shift supervision. hazmat handling certificate. warehouse management system. basic first aid certificate. volunteer experience in local club.,logistics,female,30-44,DE,1
A0300,reporting specialist with 1 years of experience. excel modelling. etl workflows. responsible for onboarding new colleagues. volunteer experience in local club.,data,female,45-60,non-EU,0
A0301,bi analyst with 13 years of experience. a b testing. excel modelling. statistical analysis. power bi dashboards. etl workflows. sql reporting. attended internal trainings. driving licence class b. fluent in german and english. basic first aid certificate.,data,male,30-44,DE,1
A0302,logistics coordinator with 2 years of experience. driving licence class b. organised team events. fluent in german and english.,logistics,male,18-29,non-EU,0
A0303,reporting specialist with 2 years of experience. fluent in german and english. organised team events.,data,male,18-29,EU,0
A0304,depot supervisor with 0 years of experience. warehouse management system. fluent in german and english. volunteer experience in local club. available at short notice. basic first aid certificate.,logistics,female,45-60,DE,1
A0305,warehouse operative with 0 years of experience. pallet handling. fluent in german and english. available at short notice. organised team events.,logistics,male,18-29,EU,0
A0306,team assistant with 0 years of experience. ms office suite. minute taking. worked in agile teams. team player with strong communication skills.,office,diverse,30-44,DE,1
A0307,backend engineer with 10 years of experience. ci cd pipelines. docker containers. code review practices. cloud deployment aws. sql databases. rest api design. python development. team player with strong communication skills. available at short notice. fluent in german and english. basic first aid certificate.,software,male,30-44,DE,1
A0308,office administrator with 11 years of experience. crm data entry. invoice processing. minute taking. calendar management. german and english correspondence. ms office suite. travel booking. team player with strong communication skills. organised team events. worked in agile teams.,office,male,18-29,non-EU,1
