applicant_id,cv_text,vacancy_family,sex,age_group,nationality,shortlist
A0000,warehouse operative with 9 years of experience. loading dock coordination. route planning. hazmat handling certificate. pallet handling. shift supervision. inventory cycle counts. warehouse management system. fluent in german and english. available at short notice.,logistics,diverse,45-60,EU,1
A0001,back office clerk with 0 years of experience. crm data entry. minute taking. driving licence class b. team player with strong communication skills. fluent in german and english. responsible for onboarding new colleagues.,office,diverse,18-29,EU,0
A0002,data analyst with 3 years of experience. sql reporting. excel modelling. driving licence class b. fluent in german and english. worked in agile teams. attended internal trainings.,data,female,45-60,EU,1
A0003,team assistant with 10 years of experience. calendar management. front desk reception. travel booking. minute taking. crm data entry. ms office suite. invoice processing. organised team events. driving licence class b.,office,diverse,18-29,EU,1
A0004,team assistant with 2 years of experience. german and english correspondence. available at short notice. fluent in german and english. volunteer experience in local club. attended internal trainings.,office,female,45-60,DE,0
A0005,logistics coordinator with 0 years of experience. hazmat handling certificate. pallet handling. volunteer experience in local club. basic first aid certificate. worked in agile teams.,logistics,male,18-29,DE,0
A0006,logistics coordinator with 1 years of experience. shift supervision. route planning. team player with strong communication skills. basic first aid certificate. organised team events. fluent in german and english.,logistics,female,30-44,DE,0
A0007,bi analyst with 15 years of experience. excel modelling. statistical analysis. power bi dashboards. sql reporting. etl workflows. basic first aid certificate. organised team events.,data,female,30-44,EU,1
A0008,depot supervisor with 6 years of experience. warehouse management system. pallet handling. route planning. hazmat handling certificate. forklift licence. loading dock coordination. inventory cycle counts. worked in agile teams. volunteer experience in local club. driving licence class b. attended internal trainings.,logistics,female,18-29,DE,1
A0009,reporting specialist with 0 years of experience. power bi dashboards. stakeholder presentations. volunteer experience in local club. responsible for onboarding new colleagues. fluent in german and english.,data,diverse,18-29,DE,1
A0010,software developer with 0 years of experience. ci cd pipelines. python development. driving licence class b. fluent in german and english. team player with strong communication skills.,software,female,30-44,DE,0
A0011,reporting specialist with 3 years of experience. statistical analysis. excel modelling. attended internal trainings. worked in agile teams. team player with strong communication skills.,data,female,18-29,non-EU,1
A0012,data analyst with 1 years of experience. excel modelling. organised team events. responsible for onboarding new colleagues. worked in agile teams.,data,diverse,30-44,EU,0
A0013,devops engineer with 2 years of experience. sql databases. python development. attended internal trainings. team player with strong communication skills. available at short notice. basic first aid certificate.,software,female,18-29,DE,1
